atlas_grid_id,native_grid_id,grid_size_m,source_crs,grid_reference_year,statistics_reference_year,indicator_code,population_total,population_status,sgis_adm_cd,sgis_adm_nm,sgis_sigungu_cd,sgis_sigungu_nm,sgis_sido_cd,sgis_sido_nm,partition
sgis:100m:다사523332,다사523332,100,EPSG:5179,2025,2024,to_in_001,970,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사523333,다사523333,100,EPSG:5179,2025,2024,to_in_001,1787,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사523334,다사523334,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사523335,다사523335,100,EPSG:5179,2025,2024,to_in_001,5,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524327,다사524327,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524328,다사524328,100,EPSG:5179,2025,2024,to_in_001,38,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524329,다사524329,100,EPSG:5179,2025,2024,to_in_001,33,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524330,다사524330,100,EPSG:5179,2025,2024,to_in_001,325,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524331,다사524331,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524332,다사524332,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사524333,다사524333,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사525327,다사525327,100,EPSG:5179,2025,2024,to_in_001,563,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사525328,다사525328,100,EPSG:5179,2025,2024,to_in_001,1002,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사525329,다사525329,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사525330,다사525330,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사525331,다사525331,100,EPSG:5179,2025,2024,to_in_001,0,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사526328,다사526328,100,EPSG:5179,2025,2024,to_in_001,250,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사526329,다사526329,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
